PI	2024	 4	    4288633.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
PI	2024	 4	          0.00	          0.00	         13.10	IOF Ouro            	IOF-Ouro            	
PI	2024	 4	  231062448.00	   56246316.00	  199124432.00	FPE                 	FPE                 	
PI	2024	 4	      65065.84	      30364.11	       6815.30	IPI-EXP             	IPI-Exp             	
PI	2024	 4	   11774551.00	    2855806.25	   10207209.00	FPM                 	FUNDEB              	
PI	2024	 4	       5116.01	       2387.52	        535.88	IPI-EXP             	FUNDEB              	
PI	2024	 4	      14705.11	       1554.67	       2445.17	ITR                 	FUNDEB              	
PI	2024	 4	    2963450.50	     652736.25	     525607.75	IPVA                	FUNDEB              	
PI	2024	 4	      66367.72	      19412.96	      33336.23	ITCMD               	FUNDEB              	
PI	2024	 4	    4067294.00	   11469833.00	   15234600.00	ICMS                	FUNDEB              	
PI	2024	 4	   18168176.00	    4422584.00	   15656928.00	FPE                 	FUNDEB              	
PI	2024	 4	          0.00	          0.00	    3236394.25	FEP                 	Royalties           	
PI	2024	 4	          0.00	          0.00	      41817.52	CFEM                	Royalties           	
PI	2024	 4	      57058.29	          0.00	          0.00	CFH                 	Royalties           	
PI	2024	 4	          0.00	          0.00	    2643150.25	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PI	2024	 4	          0.00	          0.00	   28069610.00	COUN VAAF           	FUNDEB              	
PR	2024	 4	   10173695.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
PR	2024	 4	  151963392.00	   37245716.00	  129490320.00	FPE                 	FPE                 	
PR	2024	 4	   26431340.00	   12334645.00	    2768537.00	IPI-EXP             	IPI-Exp             	
PR	2024	 4	   44738276.00	   10850846.00	   38783044.00	FPM                 	FUNDEB              	
PR	2024	 4	    3085913.50	    1440095.25	     323232.38	IPI-EXP             	FUNDEB              	
PR	2024	 4	     176698.38	      77214.21	      96159.10	ITR                 	FUNDEB              	
PR	2024	 4	   21775186.00	   11880105.00	   24455108.00	IPVA                	FUNDEB              	
PR	2024	 4	    6215296.00	    1744234.38	    3475577.75	ITCMD               	FUNDEB              	
PR	2024	 4	   86253104.00	  229021440.00	   72729320.00	ICMS                	FUNDEB              	
PR	2024	 4	   17742038.00	    4348514.00	   15118262.00	FPE                 	FUNDEB              	
PR	2024	 4	          0.00	     853321.63	    4650922.50	ANP                 	Royalties           	
PR	2024	 4	          0.00	          0.00	    2002151.88	FEP                 	Royalties           	
PR	2024	 4	          0.00	          0.00	     426615.22	CFEM                	Royalties           	
PR	2024	 4	    7095069.00	          0.00	          0.00	CFH                 	Royalties           	
PR	2024	 4	          0.00	   23898228.00	          0.00	ITA                 	Royalties           	
PR	2024	 4	          0.00	          0.00	   16529538.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PR	2024	 4	          0.00	          0.00	    8707587.00	COUN VAAR           	FUNDEB              	
RJ	2024	 4	    7165186.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
RJ	2024	 4	   90452232.00	   21005590.00	   83802544.00	FPE                 	FPE                 	
RJ	2024	 4	   57621176.00	   26889924.00	    6035500.50	IPI-EXP             	IPI-Exp             	
RJ	2024	 4	   11626462.00	    2819889.00	   10078833.00	FPM                 	FUNDEB              	
RJ	2024	 4	    3937971.00	    1837722.75	     412480.75	IPI-EXP             	FUNDEB              	
RJ	2024	 4	      27692.46	       1663.12	       5220.65	ITR                 	FUNDEB              	
RJ	2024	 4	   17245168.00	   10218005.00	    8503801.00	IPVA                	FUNDEB              	
RJ	2024	 4	    3208368.50	    1583103.75	    2809443.00	ITCMD               	FUNDEB              	
RJ	2024	 4	   27943788.00	  168725168.00	   59979404.00	ICMS                	FUNDEB              	
RJ	2024	 4	    6181725.50	    1435573.00	    5727269.50	FPE                 	FUNDEB              	
RJ	2024	 4	    8818757.00	  589179264.00	  428154496.00	ANP                 	Royalties           	
RJ	2024	 4	          0.00	          0.00	    1770507.50	FEP                 	Royalties           	
RJ	2024	 4	          0.00	          0.00	     206741.27	CFEM                	Royalties           	
RJ	2024	 4	     590625.31	          0.00	          0.00	CFH                 	Royalties           	
RJ	2024	 4	          0.00	          0.00	    8177150.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
RJ	2024	 4	          0.00	          0.00	   21151738.00	COUN VAAF           	FUNDEB              	
RN	2024	 4	    2815311.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
RN	2024	 4	  218524720.00	   53756284.00	  185071968.00	FPE                 	FPE                 	
RN	2024	 4	     568427.13	     265266.41	      59539.62	IPI-EXP             	IPI-Exp             	
RN	2024	 4	   12267636.00	    2975399.25	   10634658.00	FPM                 	FUNDEB              	
RN	2024	 4	      49899.35	      23286.38	       5226.69	IPI-EXP             	FUNDEB              	
RN	2024	 4	       3788.24	       1156.62	        676.26	ITR                 	FUNDEB              	
RN	2024	 4	     340208.13	          0.00	    1817807.25	IPVA                	FUNDEB              	
RN	2024	 4	      29767.43	      99491.61	      60454.89	ITCMD               	FUNDEB              	
RN	2024	 4	   15727538.00	   18245402.00	   11269237.00	ICMS                	FUNDEB              	
RN	2024	 4	   19183172.00	    4718990.50	   16246524.00	FPE                 	FUNDEB              	
RN	2024	 4	          0.00	   19186784.00	          0.00	ANP                 	Royalties           	
